survey_date,survey_day_of_week,dhhs_posted_date,dhhs_posted_day_of_week,total_pct_reporting,total_covid_census,total_inpt_full_beds,total_inpt_empty_beds,total_inpt_unreportedunstaffed,total_icu_full,total_icu_empty,total_icu_unreportedunstaffed,total_icu_covid,total_pts_on_vent,total_empty_vents,total_vents_in_hosp,total_confirmed_admitted_24hours,total_suspected_admitted_24hours
20200322,Sunday,20200323,Monday,NA,NA,NA,NA,,NA,NA,NA,NA,64,NA,NA,NA,NA
20200323,Monday,20200324,Tuesday,NA,29,NA,NA,,NA,801,NA,NA,380,NA,NA,NA,NA
20200324,Tuesday,20200325,Wednesday,NA,29,NA,NA,,NA,801,NA,NA,380,NA,NA,NA,NA
20200325,Wednesday,20200326,Thursday,NA,50,NA,NA,,NA,451,NA,NA,400,NA,NA,NA,NA
20200326,Thursday,20200327,Friday,0.81,77,11072,7184,2966,NA,724,NA,NA,539,NA,NA,NA,NA
20200327,Friday,20200328,Saturday,0.81,87,10908,6539,3775,NA,774,NA,NA,652,NA,NA,NA,NA
20200328,Saturday,20200329,Sunday,0.7,91,8868,5726,6628,NA,691,NA,NA,518,NA,NA,NA,NA
20200329,Sunday,20200330,Monday,0.64,137,9163,6235,5824,NA,745,NA,NA,580,NA,NA,NA,NA
20200330,Monday,20200331,Tuesday,0.84,157,10548,7024,3650,NA,793,NA,NA,670,1849,2519,NA,NA
20200331,Tuesday,20200401,Wednesday,0.94,204,11499,7473,2250,NA,856,NA,NA,691,2127,2818,NA,NA
20200401,Wednesday,20200402,Thursday,0.87,184,10899,7156,3167,NA,635,NA,NA,624,2390,3014,NA,NA
20200402,Thursday,20200403,Friday,0.87,184,10899,7156,3167,NA,635,NA,NA,624,2390,3014,NA,NA
20200403,Friday,20200404,Saturday,0.85,271,10410,7730,3082,NA,883,NA,NA,701,2313,3014,NA,NA
20200404,Saturday,20200405,Sunday,0.62,261,8348,6418,6456,NA,732,NA,NA,618,1747,2365,NA,NA
20200405,Sunday,20200406,Monday,0.64,270,8683,7288,5251,NA,823,NA,NA,616,1980,2596,NA,NA
20200406,Monday,20200407,Tuesday,0.86,354,10501,8296,2425,NA,996,NA,NA,749,2430,3179,NA,NA
20200407,Tuesday,20200408,Wednesday,0.86,386,10901,7986,2335,NA,805,NA,NA,722,2194,2916,NA,NA
20200408,Wednesday,20200409,Thursday,0.81,398,10973,6895,3354,NA,754,NA,NA,694,2183,2877,NA,NA
20200409,Thursday,20200410,Friday,0.87,423,11482,7318,2422,1448,883,892,NA,723,2273,2996,NA,NA
20200410,Friday,20200411,Saturday,0.79,362,9783,6359,5080,1243,834,1146,NA,585,2030,2615,NA,NA
20200411,Saturday,20200412,Sunday,0.69,331,8534,6497,6191,1234,753,1236,NA,598,1887,2485,NA,NA
20200412,Sunday,20200413,Monday,0.67,343,8907,6662,5653,1255,879,1089,NA,622,1947,2569,NA,NA
20200413,Monday,20200414,Tuesday,0.88,418,10466,7591,3165,1418,873,932,NA,684,2209,2893,NA,NA
20200414,Tuesday,20200415,Wednesday,0.88,431,11212,7740,2270,1500,919,804,NA,693,2380,3073,NA,NA
20200415,Wednesday,20200416,Thursday,0.88,452,11754,7187,2281,1507,915,801,NA,719,2409,3128,NA,NA
20200416,Thursday,20200417,Friday,0.87,429,11604,6953,2665,1418,920,885,NA,687,2394,3081,NA,NA
20200417,Friday,20200418,Saturday,0.88,388,11408,6780,3034,1464,851,908,NA,698,2380,3078,NA,NA
20200418,Saturday,20200419,Sunday,0.78,465,10204,6304,4714,1427,784,1012,NA,684,2222,2906,NA,NA
20200419,Sunday,20200420,Monday,0.77,373,9616,7245,4361,1297,889,1037,NA,655,2208,2863,NA,NA
20200420,Monday,20200421,Tuesday,0.9,427,11436,7449,2337,1406,929,888,NA,713,2433,3146,NA,NA
20200421,Tuesday,20200422,Wednesday,0.9,434,11899,7154,2169,1430,893,900,NA,679,2523,3202,NA,NA
20200422,Wednesday,20200423,Thursday,0.88,486,11805,6298,3119,1382,872,969,NA,693,2346,3039,NA,NA
20200423,Thursday,20200424,Friday,0.89,477,12327,6341,2554,1399,840,984,NA,699,2534,3233,NA,NA
20200424,Friday,20200425,Saturday,0.83,456,11461,5965,3796,1385,801,1037,NA,656,2253,2909,NA,NA
20200425,Saturday,20200426,Sunday,0.78,451,11250,5809,4163,1526,748,949,NA,667,2269,2936,NA,NA
20200426,Sunday,20200427,Monday,0.8,473,11249,6649,3324,1441,893,889,NA,669,2309,2978,NA,NA
20200427,Monday,20200428,Tuesday,0.92,463,11318,6836,3068,1350,826,1047,NA,662,2334,2996,NA,NA
20200428,Tuesday,20200429,Wednesday,0.93,551,12646,6252,2324,1426,839,958,NA,759,2434,3193,NA,NA
20200429,Wednesday,20200430,Thursday,0.92,546,12240,6325,2657,1365,789,1069,NA,745,2459,3204,NA,NA
20200430,Thursday,20200501,Friday,0.92,547,12759,6684,1779,1419,829,975,NA,693,2616,3309,NA,NA
20200501,Friday,20200502,Saturday,0.86,502,11993,6672,2557,1476,871,876,NA,699,2582,3281,NA,NA
20200502,Saturday,20200503,Sunday,0.78,475,10800,5853,4569,1449,722,1052,NA,661,2357,3018,NA,NA
20200503,Sunday,20200504,Monday,0.81,498,11339,6093,3790,1399,880,944,NA,704,2513,3217,NA,NA
20200504,Monday,20200505,Tuesday,0.92,534,12346,6543,2333,1480,910,833,NA,721,2693,3414,NA,NA
20200505,Tuesday,20200506,Wednesday,0.92,516,12494,5500,3228,1463,713,1047,NA,648,2619,3267,NA,NA
20200506,Wednesday,20200507,Thursday,0.94,525,13589,5672,1961,1515,729,979,NA,745,2837,3582,NA,NA
20200507,Thursday,20200508,Friday,0.9,515,12729,5317,3176,1420,775,1028,NA,633,2630,3263,NA,NA
20200508,Friday,20200509,Saturday,0.9,513,13336,5782,2104,1613,743,867,NA,688,2851,3539,NA,NA
20200509,Saturday,20200510,Sunday,0.78,442,11775,5601,3846,1587,612,1024,NA,664,2593,3257,NA,NA
20200510,Sunday,20200511,Monday,0.83,464,11606,6346,3270,1512,872,839,NA,675,2709,3384,NA,NA
20200511,Monday,20200512,Tuesday,0.87,475,12041,6049,3132,1508,791,924,NA,734,2490,3224,NA,NA
20200512,Tuesday,20200513,Wednesday,0.91,521,13463,5651,2108,1523,748,952,NA,807,2576,3383,NA,NA
20200513,Wednesday,20200514,Thursday,0.92,507,13538,5643,2041,1519,771,933,NA,765,2569,3334,NA,NA
20200514,Thursday,20200515,Friday,0.94,492,13854,5762,1606,1544,719,960,NA,765,2710,3475,NA,NA
